article,ai_percentage
"Imagine turning on your computer and reading something negitive that makes you sad then your computer changes the screen. The use of technology to read the emotional expressions of students in a classroom is a good thing. This makes learning easier for students and helps them comperhend better. There's 1 main reason why and that's because it helps you learn.

For students learning somehting new is always hard, but it's more hard when you dont have a teacher around to explain it for you. The article states ""A classroom computer could recognize when a student is becoming confused or bored,"" Dr Huang predicts. ""Then it could modify the lesson, like an effective human instructor"". This basically shows you that whenever your not for sure about something changes will be made to help you understand what your better.

In conclusion my 1 main reason why is because it helps you learn. With teachers not being able to answer your question outside of school, having a computer that can help you based on you facial expression would benefit alot. Anyone can say they've learned somehting but your look says it all.",0
"Walking into the voting booth ""...every four years on the Tuesday after the first Monday in November"" Office Of Federal Register 6, the people of the United States of America expect their vote to count. Although, the president is elected in a more indirect way, by the electoral college, which does not represent the people, and is not fair. The president should be elected by popular vote from now on.

The first problem that the electoral college faces is the fact that it does not truly represent the opinion of the people. First, voters can walk into the booth and ""...get confused about the electors and vote for the wrong candidate"" Plumer 10. Not every voter is educated on exactly how the electors and candidates are represented on the ballot and that may lead to an accidental win. On top of this misconception, almost deceitfully, an elector promised to a candidate can change their vote at a moments noticePlumer 10. Even Posner who writes for the electoral college admitted that it is possible, and he claims that it is ""rare""however, it has happened before in 1960 Plumer 11, and not even Posner can control the actions of an elector, legally anyway. Also, when a candidate wins a popular vote, which is the true mind of the people, that candidate still may not win the electoral vote, overall, loosing the election. This happened just a few years back in the 2000 election between President Bush and GorePosner 16.All in all, the electoral college does not represnt the people.

Looking deeper into the subject, elections by the electoral college are not fair. The first example appears in the method of the ""...""winnertakeall"" system that awards all electors to the winning presidential candidate""Office of Federal Register 7. Because of this system, Presidential candidates may not feel the need to campaign to all people, just those of the states with the highest amount of electoral votesPlumer 13. This goes against the american concept of ""all men are created equal"", leaving voters feeling undervauled and not important. Second, ""A tie in the nationwide electoral vote is possible because the total number of votes538 is an even number.."" Posner 18. Although this tie is claimed to be ""highly unlikely"". However, an election by popular vote would make the conundrum even further unlikely by the general logic of the fact that it is a lot less possible for the opinion of an entire nation to be split down the middle than that of 538 electors. Another issue with a tie in the electoral college lies in how that draw is resolved. The tiebreaker is left to the representatives in congress, and ""Because each state casts only one vote, the single representative from Wyoming...would have as much say as the 55 representatives from California..."" Plumer 12. This simply does not give all the voters equal say in who wins the election. All of these topics and more compressed together represent how un fair the election truly is.

Entering the booth next election day, dont only think about who you are voting for, but also how you are voting for them. It makes all the difference, and, ultimately, the popular way is the best way.",0
"""THE IDEA"" Venus

Studying Venus is a worthy pursuit despite the dangers it Presents.

Venus is our next Planet howerer it has prove a very challenge place to examine more closely. The author supports this idea by all of the information given in the article. Everytings the author saying in The Challenge of Exploring Venus are not easy but they are survivable for humans.

venus is a planet it's pretty close to Earth and Humans want to study about it, to know stuff about it but at the same time is a danger but people can't let's the danger stop them. Like NASA did she's working on other approaches to studying Venus, we knows that is a danger but don't forget the danger can change into a good thing, imagine how beautiful it is for people living in venus.

The idea of sending humans to study Venus is not a bad idea but is a very challenging idea.

The author did a pretty good job in the article, i am really enjoy it.",0
"Body actions say more than words could ever say. This can simply be tested by taking a glance at any individual you may come in-contact with; almost immediately, our brains can process exactly how the other person is feeling. In recent years, this process we do ourselves, has turned to technology. Professor Thomas Huang from the Beckam Institue for Advanced Science at the University of Illinois has worked close by Professor Nicu Seb from the University of Amsterdam, to accomplish creating a computer program that can capture and explain human emotions. After some time, this work in progress became a reality, and was named the Facial Action Coding System. This invention has sparked interest in many different groups of people and in many varying fields of work. One of these fields is education. The Facial Action Coding System can positvely be used in the classroom to improve overall student experience by effectively and accurately catching a glimpse of their nonverbal communication in hopes to result in lesson plan alterations and opening prime opportunities for vulnerability in teacher to student relationships.

This new technology advancement has been found to provide very accurate results based on anatomy; therefore, would be sucessful no matter where it was used. Creator, Dr. Huang, definitely did his research when creating the Facial Action Coding System. The text reads, ""Dr. Huang observes that artists such as da Vinci studied human anatomy to help them paint facial muscles precisley enough to convery specific emotions."" Based on this information, it is easy to see that our body language, and simple expressions are simply coded in our human anatomy; Da Vinci knew it and now so do many others. All of the human muscles work together to deliver our innermost feelings and thoughts. The text reads, Eckman has classified six basic emotions -- happiness, suprise, anger, disgust, fear, and sadness -- and then associated each with characteristic movements of the facial muscles."" This information is essentially the way in which the Facial Action Coding System calculates human emotions in hopes to cause other people to potentially act differently. All humans use the same facial muscles, so this product can be effective on anyone.

Dr. Huang says, ""The facial expressions for each emotion are universal...the software can even identify mixed emotions. Each expression is compared against a neutral face (showing no emotion)."" This piece of text is important to comprehend in order to fully understand the capabilities of the Facial Action Coding System. By using this structured and prepared system the results relayed back to an individual are extremely accurate. As a result of this accuracy, not only could the product be used anywhere; one of the most effective uses would lie in the classroom. In conclusion, the Facial Action Coding System uses a sytematic process to determine any individual across the world's emotions; which is an important piece of evidence because many individuals may not believe its' accuracy.

The Facial Action Coding System can effectively used in the classroom to adjust lesson plans based on student preference. One aspect, Dr. Huang mentions is the prevelance of nonverbal communication; especially for young children who are in the education system. He says, ""Most human communication is nonverbal, includimg emotional communication."" This quote is significant when in the context of the Facial Action Coding System. Within the walls of a classroom this computer program could be used to dig deeper into a students emotions and feelings in order to understand them better and adjust to specific needs. For example, after using this program on a group of kids in the classroom; red flags may appear that gear toward frustration, stress, or confusion and this would give way for a teacher to step in and make a difference. If a large group of students were confused, the teacher would then know they may need to review the topic more thouroughly or by taking an alternate approach. If the computer system can reveal that a student is frustrated, the teacher would be able to console them positively in hopes they would be willing to take part in extra help or practice wihtin a subject. Dr. Huang also mentions, ""A classroom computer could recognize when a student in becoming confused or bored."" As previously mentioned, by using the Facial Action Coding System, the teacher will be informed of the emotions and feelings of their students that they are unwilling to first hand share with an adult. Overall, this computer program would offer many positive advancements to the classroom that help teachers better prepare for individual student needs and preferences.

As the Facial Action Coding System could contribute to a teacher's knowledge of student reaction in the classroom, it could also make the classroom a much happier place by opening up chances for vulnerability and positive emotions. As previously stated, as a teacher becomes more aware of his or her students' emotions and takes practical steps towards fulfilling their individual needs; a door to vulnerability is quickly opened. Within the walls of a classroom, the relationship between a teacher and student is very important and can make or break a students learning for a short span of time. If the Facial Action Coding System was able to spot a negative emotion, and enable the teacher to step in and help the student walk through that struggle; vulnerability happens in the classroom and can make it a much better place to be. In additon the text reads, ""According to the Facial Feedback Theory of Emotion, moving your facial muscles not only expresses emotions, but also may even help produce them."" As the FACS enters into classroom usage, many students will become more aware of emotions they may be unable to verbalize. With this knowledge they may be able to better combat their negative body language and work on recognizing when their emotions may be going down a wrong path and be able to change it quickly. Just as that quote said, making a specific emotion may allow the individual to rapidly improve. Overall, the usage of FACS in the classroom would allow for students to have much more realistic and intentional relationships with their teachers and improve their emotions everyday.

All in all, the Facial Action Codign System is a computer system created that could have many important usages in the future. However, one of the most essential would be within the walls of a classroom. This opportunity would open many positive chances for emotions to be relayed accurately to a teacher in hopes that they would be able to alter lesson plans and change other aspects of their teaching style to better suit individual student needs. In addition, other studies and research completed with the FACS shows that this system can and will relay accurate results because body language is universal and our human anatomy does not lie. Lastly, allowing students to better understand their emotions will help them react to them before they may get out of hand. With early detection and acknowledgement of negative emotions the classroom could become a much happier place to be. This system is going to change the way many programs work, but mostly within the classroom. Teens emotions are always changing, body actions always say more than words could ever.",0
"Im going to tell about how the author of the article ''The Challenge of Exploring Venus"" is trying to convince people to explore and stuying one of our 8 plants called ""Venus"". He starts off by geeting in detail with describing how vevus is by stating "" Venus sometimes caleed the Evening Star,is one of the brightest points of light in the night sky,and saying venus is the second plant fro our sun. Earth in terms of density and size,and occasionally the closet in distance too. He also discribed the plant as a cloud-draped world, and says maybe this issue explains why not a single spaceship has touched downn on venus in more than three decades

The author also gets into some math into this by breaking down some percentages that venus has compared to other plants by saying. ""A thick atmosphere of almost 97 percent carbon dioxide blankets venus "". he also says that one the plants surface , temperatures average over 800 degrees Fahrenheit, and theatmosphere pressure is 90 times gretaer than what they have experienced on earth. Venus has the hottest surface tempertature of many plants in our solar system, even with mercury being closer to the sun. He basically telling us about the percentages and the deepest amont of venus and other plants we didnt reaserch about.

In more of the storyhe tells you the things yo are exprcted to see on venus. Venus was covered largely with oceans and could have supported various forms of life,just like earth. The planet has a surfae of rocky sediment and includes familiar features suck as valleys, mountains, and craters. He changes the subject and goesminto the NASA and how they have ideas on sending humas to study venus. he describes how going out there would be like by saying imagine a blimp-like vehicle hovering 30 or so miles above theroiling venusian landscape. Also at thirty plus miles above the surface, temperatures would still be toasty around 170 degrees fahrenheit, but tha air pressure would be close to that of sea level on earth",0
"Many places around the world have been taking charge and limiting car use to the public. There comes some great advantages when doing this. You can help limit greenhouse gases, relieve the stress from cars, and become less dependent on your car for transportation.

The big advantage about limiting cars is to help prevent the rapid spread of greenhouse gases the creates smog in cities. From source two you learn that cold nights and warm days cause the warmer layer of air to trap car emissions polluting cities even more. With these dangerous gases in the air, the world is in great danger of becoming unhealthy and we are to blame for this awful cause because of the over use of cars. By limiting the use of cars you limit the amount of pollution in the air.

By limiting car use an finding other means of transportation, you can actually relieve stress put on you from the constant beeping and noises made by cars. By walking or riding a bike you hear the nice peaceful sounds of the great outdoors while knowing you are doing good to you and the environment. Some people, as seen in source three, have taken this experience of the limiting of cars to share the experience with their companion riding a twoseated bike. ""It's a good opportunity to take away stress and lower air pollution."" By limiting the use of cars you begin to be less depended on cars. By this happening you learn your life will know longer be circled around your car and you begin to see that driving a car everyday is not really needed. By using public transportation of carpooling you greatly decrease the amount of pollution in the air while also having a ride to work or where ever you need to be.

Limiting cars can have multiple advantages to it. You can help stop half of the greenhouse gases that are caused from cars, relieve stress, and become less dependent for the need a car. This will cause you to become a better citizen and help make the world last longer for hundreds of generations to come.",0
"Phones & Driving

I am going to show my opinion about Texting or being on the phone while driving and, I show some you'll what could happened when you decide to be on the phone while driving. An I hope when you are reading this, I hope you chance your mind about texting while driving and I should thank all my reader for taking the time up to reading this essay.

When you are driving a car you hear a text pop up on your phone and you want to get it so bad and you do but, when you do you stop paying attention to the road for just a minute then a car behind you hunks because you aren't driving right and that make you jump so you start driving right. The driver was just lucky that he just got hunk at or it could've binned much worst like a car accident, and someone could have got hurt. In my opinion people shouldn't not be texting while driving because it only takes a simple mistake, and someone could get hurt. I think that it was a good idea that modern cars develop cars that you can call people and talk to people on the phone while driving plus they have their full attention. When you are texting while driving you looking up and down while driving and I would suggest people should put that do not disturb on your phone or you can put it in the glove department, so you won't be interrupted while driving.

My conclusion to all this is drive safe because I don't want to look on the news and see anybody getting hurt because of you are on your phone. If you don't care do it to save the other people from driving and I see why they are pushing this to be outlaws so there could be less accident on the road. I hope and thank you for reading my essays.",0
"I belive that ths face is a natural landform. I belive this because, on May 24. 2001. on that day go back 25 years. NASA we went around the planet taking pictures. Then we spoted the face! We had to know more, it was two miles end to end. It was Viking 1 that took the first photo of this face, in 1976.

I know this is just a natural landform because, we took a close rlook at this face. We found out that, it was a huge rock formation. Which just seemed to look like a head. then the shadows that makes it seem like there are eyes, nose, and a mouth. Which are all caracterstics of human face. The public thought different though. They are the ones who made the mars face so popular. It appered in hollywood films. This face also made apperences in books, magazines, and radio talk shows. The public thought it was alien life on mars.

While the public and other scientists thought this face was bona fide evidence on mars. We as in NASA say its just a natural landform. But we do wish there was life on mars.

We still tried to get more and more photos of this face. In Sept. 1997, we thought it was important for tax payers to find out if this was just a natural cause, or life on mars. A couple years later on April 5, 1998. We got another picture of this face, this picture was ten times sharper the the first photo ever taken. Which this photo proved to everyone that. This face is a natural landform, and not an alien monument.

But apperently after taking all this time, not everyone was satsified. The people still belive that, it is alien monument. SInce mars is located at 41 degrees north martian latitude where it wa sin winter in april 98. it was a cloudy time on mars. So we ended up doing more recearch on this face. It was April 8, 2001. We made contact with a spceshuttle in space. We aske them to take a picture of the face. Their resposnse was that they do not past the face very offten.

They ended up taking a picture of the face. They had some diffecalties getting the picure. But they took the picture. On that day it was a clear day. So no one can say that it can still be alien life. What the picture actully shows is that the martian equivalent of a buttle or a mesa. You can refur to those as like landforms in the mid west. People say it remids them of the Snake River Plain of Idaho.",0
"As we all know cars are a big part of our society today. However cars have a bigger impact than we think. Some people can't live without there car. Some people can go their whole life without a car. We may not think about it however there are multiple advantages to not using a car. When we limit our car use it saves the earth also it i said that it takes away a heap load of stress and it saves people money. Just think about it, one day without the use of cars. How would that be?

We we think of saving the earth we think of recycling, reusing things, and reducing. Did you know that passenger cars are responsible for 12 percent of greenhouse gases and up to 50 percent in some car intensive areas in the United States.According to ""In German suburb, Life Goes On Without Cars"" By: Elisabeth Rosenthal. In Paris there pollution was almost record setting and so they ordered that evennumbered license plates leave their cars at home or pay a fine of 31. Almost 4000 drivers were fined that day and 27 got their cars impounded. Most of the cars in Paris are diesel ran so the smog is worse. If they would cut down on their car use it would lower the smog.

You might not think of it but if we limited the use of cars it relieves stress. According to ""In German Suburb, Life Goes on Without Cars"", In Vauban, Germany they have given up their cars. Vaubans streets are completly car free. 70 percent of vaughn's families do not own cars and 57 percent sold a car to move there. Heidrun Walter said""When I had a car I was always tense. Im much happierthis way"". According to ""Carfree dat in spinning into a big hit in Bogota"" by Andrew Selsky in Bogota,Columbia they have been without cars for 3 years. Also Carlos Arturo Plaza said ""It's a good opportunit totake awat stresss and lower the air pollution"".

According to ""The End of Car Culture"" by: Elisabeth Rosenthal recent studies show that Americans are buying fewer cars, driving less and getting fewer licences as each year goes by. The number of miles driven in the United States peaked in 2005 and dropped steadily afterwards, according to an analysis by Doug Short of Adivor Perspectives. People who stopped driving there cars as a result of hard times may not find a reason to go back to driving if they are saving money.

So I believe that they're many reason to have a car. However they're many advantages to limiting your car use. You can think of yourself as doing a good deed to the earth when walking somewhere or riding your bike are catching the bus. You can have a clear mind and seize stressing so much. Also you can save money I think that everybody likes to save money one way or another. Instead of drivng your car to the mall you can save that money and catch the bus to the mall and buy that new purse that you have been dying to get.",0
"The limitations of human contact due use technology had negative effects in peoples's lives. Imagine how many accidents happen in they week because the use of the technology using programs a lot. Generic_Name was driving and playing his favoitrs games online,and he did not look to the red light. Limitatios with humans can cause many problems in your life. We need to have limit technology use. Technology gave negative effects in time with family, driving while you are testing, and energy electricity.

First of all, families have limitation of time to talk about their problems because they dedicate more time to technony. For example, Generic_Name was a girls in public high school. She was talking with an old man; the man was looking everyday, and she do not figure out because the man told her that he was in another country. Next, she did not talk with the families and she was one more of many young victim of kindnap. Another example, peoples in families use technology inapropiately causing get all on troubles and having less communication between them as human.

Secondly, some people prefer to talk in text message while they are driving. This is cause of many accidents peoples use devices in their car. Sometimes person does not even look who is begin stting next to them. The are some problems as someone told me. Generic_Name was driving with his mother who was in another country: She came to see him, but he did not left the phone alone and look at his back the computer after a two miles, they crash crossing a railroad. Also, we knows the risk of doing it. People think tha using technoly and have less communication with their family anywhere is safe, but they are wrong because one distraction for our limitation with others human can be deadly.

Thirdly, energy is anothers problem because people spend more money. Even know, this increase a lo of accidents because custome's companies just buy lof of thing as computer, cellphone, and toys. The problem is many peoples spend more time plugin in setting beside its divice charger to get some energy in their computer or cellphone. One more example in about this problems Generic_Name was addicted to the computer in his room. He was charging it. He was friendless because of this reason, and Generic_Name did not talk with his family as normally; however, he just say good bye everyday.

In conclusion, Everyone has to stop using technology for unimportant reaso or things. This will be more safe for you and your family. In ddition, limitation of human contact have more consecuences while you are with your family, driving, and spend more enery. It's your time to chane this word. ACT NOW!!! you can chane verything talk to your mother, father, and your whole family and peoples. I change. I am waiting for you because we do not want our future generation get adiction. The government and the whole word need to be safe: lookin around our beautiful natural resources.",0
